id,name,category,cost,location,rating,open,close,license
34,SeaWorld San Antonio,Themepark,$$,San Antonio,4.4,10:00,21:00,"photograph by Brian Moran, distributed under a CC-BY-NC-2.0 license."
35,Moody Gardens,Themepark,$$,Galveston,4.4,10:00,21:00,"photograph by Moody Gardens, distributed under a CC BY-NC-ND 2.0 license."
36,Lady Bird Lake Hike-and-Bike Trail,Outdoor Activity,$,Austin,4.7,0:00,23:59,"photograph by Larry D. Moore, distributed under a CC-BY-SA-4.0 license."
37,McKinney Falls State Park,Outdoor Activity,$,Austin,4.6,8:00,22:00,"photograph by Larry D. Moore, distributed under a CC_BY-SA-3.0 license."
38,Zilker Botanical Garden,Outdoor Activity,$,Austin,4.6,9:00,17:00,"photograph by Heather Cowper, distributed under a CC BY 2.0 license."
39,The Dallas Arboretum and Botanical Garden,Outdoor Activity,$,Dallas,4.7,9:00,17:00,"photograph by DABG, distributed under a CC-BY-SA-3.0 license."
40,Dinosaur Valley State Park,Outdoor Activity,$,Glen Rose,4.7,8:00,17:00,"photograph by Michael Barera, distributed under a CC-BY-SA-4.0 license."
41,Galveston Island State Park,Outdoor Activity,$,Galveston,4.5,7:00,22:00,
42,Hemisfair,Outdoor Activity,$,San Antonio,4.7,5:00,23:59,
43,Big Bend National Park,Outdoor Activity,$$,Big Bend National Park,4.8,0:00,23:59,"photograph by Michael, distributed under a CC-BY-SA-2.0 license."
44,Guadalupe Mountains National Park,Outdoor Activity,$$,El Paso,4.7,8:00,16:30,"photograph by Peter A. Episcopo, distributed under a CC-BY-SA-4.0 license."
45,Palo Duro Canyon State Park,Outdoor Activity,$$,Canyon,4.8,7:00,21:00,"photograph by Thomas Shahan, distributed under a CC BY 2.0 license."
46,South Padre Island,Outdoor Activity,$$,South Padre Island,4.6,0:00,23:59,"photograph by Anthony Acosta, distributed under a CC-BY-SA-4.0 license."
47,Padre Island National Seashore,Outdoor Activity,$$,Corpus Christi,4.8,0:00,23:59,
48,Formula 1 United States Grand Prix at Circuit of The Americas,Event/Show,$$$,Austin,4.6,14:00,16:00,"photograph by Jon Hillenbrand, distributed under a CC BY 2.0 license."
49,Cowboys at AT&T Stadium,Event/Show,$$$,Arlington,4.7,12:00,15:00,"photograph by Nicole Cordeiro, distributed under a CC BY 2.0 license."
50,Astros at Minute Maid Park,Event/Show,$$,Houston,4.7,19:00,21:30,"photograph by J. Dimas, distributed under a CC BY 2.0 license."
51,Coldplay at NRG Stadium,Event/Show,$$$,Houston,4.6,19:00,22:00,"photograph by a.canvas.of.light, distributed under a CC BY 2.0 license."
52,Justin Bieber at American Airlines Center,Event/Show,$$$,Dallas,4.6,19:30,22:00,"photograph by Jakub Janeki, distributed under a CC-BY-SA-4.0 license."
53,"Tyler, The Creator at Toyota Center",Event/Show,$$$,Houston,4.6,19:00,22:00,"photograph by NRK P3, distributed under a CC-BY-SA-2.0 license."
54,Emmer & Rye,Restaurant,$$$,Austin,4.5,17:30,22:00,
55,Franklin Barbecue,Restaurant,$$,Austin,4.7,11:00,15:00,"photograph by Wally Gobetz, distributed under a CC-BY-SA-2.0 license."
56,Kemuri Tatsu-Ya,Restaurant,$$,Austin,4.5,17:30,22:00,"photograph by Robert J. Lerma, distributed under a CC-BY-SA-4.0 license."
57,Odd Duck,Restaurant,$$$,Austin,4.6,17:00,21:00,
58,Cattleack Barbeque,Restaurant,$$,Dallas,4.7,10:30,14:00,"photograph by jpellgen, distributed under a CC BY 2.0 license."
59,Hugo's,Restaurant,$$$,Houston,4.6,15:00,21:00,"photograph by Dream Travel, distributed under a CC BY 2.0 license."
60,Killen's Steakhouse,Restaurant,$$$,Houston,4.6,16:00,21:00,
61,The Original Ninfa's on Navigation,Restaurant,$$,Houston,4.3,11:00,22:00,
